,Unnamed: 0,Day,Month,Year,Latitude,Longitude,X..km2,Total.Wieght..g..km.2,Source,Mesh.Size,Notes,CutOff,TopLim,Microplastics...km.2,Macroplastics....km.2,Microplastics.Weight..g...km.2,Macroplastics.Weight..g...km.2,Ship,CruiseNo,CruiseNoCode,StationNo,TimeLocal,TimeLocalFormatted,MonthUTC,DayUTC,YearUTC,TowAreaM2,CountPlasticFragments,CountPlasticPellets,CountTotalPlastics,FragmentDensityNoSqKm,PelletDensityNoSqKm,u10Mps,v10Mps,count_total
211,212,10.0,7.0,2009,34.5922,-172.951,84739.77,300.11,C. Moore,335.0,Corrected,4750.0,,83357.39,1382.38,145.01,155.1,,,,,,,,,,,,,,,,,,84739.77
212,213,19.0,7.0,2009,40.3088,-178.9072,74051.23,112.93,C. Moore,335.0,Corrected,4750.0,,69937.27,4113.96,86.19,26.74,,,,,,,,,,,,,,,,,,74051.23000000001
213,214,12.0,7.0,2009,34.4852,-176.4423,91270.59,6077.01,C. Moore,335.0,Corrected,4750.0,,77397.46,13873.13,401.44,5675.57,,,,,,,,,,,,,,,,,,91270.59000000001
214,215,24.0,9.0,2007,32.5488,-146.9627,90634.07,1236.35,C. Moore,335.0,Corrected,4750.0,,83136.04,7498.03,461.03,775.32,,,,,,,,,,,,,,,,,,90634.06999999999
215,216,24.0,9.0,2007,32.5205,-147.2988,92071.28,1627.73,C. Moore,335.0,Corrected,4750.0,,74893.8,17177.48,527.0,1100.73,,,,,,,,,,,,,,,,,,92071.28
216,217,12.0,7.0,2009,34.4268,-176.4903,155884.97,9921.66,C. Moore,335.0,Corrected,4750.0,,143578.26,12306.71,9294.02,627.64,,,,,,,,,,,,,,,,,,155884.97
217,218,3.0,7.0,2009,29.301,-162.048,128699.38,667.49,C. Moore,335.0,Corrected,4750.0,,118538.9,10160.48,355.66,311.83,,,,,,,,,,,,,,,,,,128699.37999999999
218,219,18.0,9.0,2009,32.4983,-159.92,131908.45,321.48,C. Moore,335.0,Corrected,4750.0,,126315.84,5592.61,207.91,113.57,,,,,,,,,,,,,,,,,,131908.44999999998
219,220,4.0,2.0,2008,33.7601,-160.4152,99222.83,460.35,C. Moore,335.0,Corrected,4750.0,,87223.79,11999.04,289.83,170.52,,,,,,,,,,,,,,,,,,99222.82999999999
220,221,4.0,7.0,2009,31.6068,-164.2543,99663.08,1117.24,C. Moore,335.0,Corrected,4750.0,,92755.74,6907.34,455.91,661.33,,,,,,,,,,,,,,,,,,99663.08
